model,lambda,arrived,dropped,served,instant_nsys,instant_nq,total_nsys,total_nq,total_wait,total_sojourn,avg_nsys,avg_nq,avg_wait,avg_sojourn,drop_prob
M/M/3/8,4.0,126,0,125,1,0,14.029672288920604,0.0884886516825798,0.1769773033651596,13.969391784353537,0.4676557429640201,0.00294962172275266,0.0014158184269212769,0.11175513427482829,0.0
M/M/3/8,4.0,128,0,128,0,0,14.128033929069147,0.007425852604608707,0.014851705209217414,14.128033929069147,0.4709344643023049,0.00024752842015362354,0.00011602894694701105,0.11037526507085271,0.0
M/M/3/8,4.0,115,0,115,0,0,13.550974045273831,0.011956120197755382,0.023912240395510764,13.550974045273831,0.45169913484246105,0.0003985373399251794,0.00020793252517835447,0.11783455691542462,0.0
M/M/3/8,4.0,101,0,99,2,0,13.554094521589134,0.0713014603507709,0.08926766626081672,13.376874126109088,0.4518031507196378,0.0023767153450256965,0.0009016935985941084,0.13511994066776856,0.0
M/M/3/8,4.0,136,0,136,0,0,14.003417740331518,0.0021906619201921274,0.004381323840384255,14.003417740331518,0.46678059134438393,7.302206400640424e-05,3.221561647341364e-05,0.10296630691420233,0.0
M/M/3/8,4.0,127,0,126,1,0,15.021345338241222,0.1310692720418185,0.262138544083637,15.019255092652681,0.5007115112747074,0.004368975734727284,0.0020804646355844208,0.11920043724327525,0.0
M/M/3/8,4.0,115,0,115,0,0,11.527579599977832,0.30587305592088754,0.6117461118417751,11.527579599977832,0.3842526533325944,0.010195768530696252,0.0053195314073197835,0.1002398226085029,0.0
M/M/3/8,4.0,114,0,114,0,0,14.481076131297286,0.0,0.0,14.481076131297286,0.4827025377099095,0.0,0.0,0.12702698360787093,0.0
M/M/3/8,4.0,110,0,110,0,0,14.568716980728563,0.44784873169949435,0.8956974633989887,14.568716980728563,0.4856238993576188,0.014928291056649811,0.00814270421271808,0.13244288164298695,0.0
M/M/3/8,4.0,112,0,112,0,0,11.23226082971949,0.0,0.0,11.23226082971949,0.374408694323983,0.0,0.0,0.10028804312249544,0.0
M/M/3/8,4.0,125,0,125,0,0,15.474878064643441,0.14268795404890255,0.2853759080978051,15.474878064643441,0.5158292688214481,0.004756265134963419,0.002283007264782441,0.12379902451714753,0.0
